level,gridSize,map,given,solution
0,4,"0,1,1,1,0,0,1,2,3,0,2,2,0,0,0,0",,"0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0"
1,4,"2,2,1,3,2,3,3,3,2,2,3,3,2,0,3,3",4,"0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0"
2,5,"3,3,0,4,4,1,3,3,4,4,3,3,4,4,2,3,3,2,2,2,3,3,3,2,2","24,","0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1"
3,6,"2,4,4,4,4,1,2,2,4,4,4,4,2,2,5,4,4,3,0,5,5,3,3,3,5,5,3,3,3,3,5,5,5,3,3,3","15,","0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0"
4,6,"5,5,5,5,5,3,5,1,3,3,3,3,5,5,2,0,3,3,5,2,2,2,3,4,5,4,2,4,4,4,4,4,4,4,4,4","5,","0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0"
5,8,"4,4,4,6,6,6,6,6,4,4,4,4,6,6,6,0,7,7,4,6,6,6,6,6,7,7,4,4,4,6,2,2,7,7,4,7,7,5,5,2,7,7,7,7,5,5,5,5,1,3,3,3,5,5,5,5,3,3,3,5,5,5,5,5","45,","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
6,6,"2,2,2,4,4,0,2,5,2,4,4,4,2,5,4,4,3,4,5,5,1,4,3,3,5,5,5,3,3,3,5,5,5,3,3,3","28,","0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0"
7,7,"5,5,5,3,3,3,3,1,5,5,3,3,3,3,5,5,6,6,6,3,3,5,5,6,6,6,6,6,5,2,6,6,6,0,4,4,2,4,4,6,4,4,4,4,4,4,4,4,4","36,","0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
8,8,"2,2,2,2,4,4,6,6,2,2,2,2,4,4,4,6,2,2,4,4,4,4,6,6,2,7,7,4,4,4,6,6,7,7,7,5,5,5,5,6,7,7,3,5,5,5,5,6,3,3,3,3,5,0,5,1,3,3,3,3,1,1,1,1","19,","0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1"
9,9,"4,4,4,4,7,7,1,7,7,4,4,6,4,7,7,7,7,2,4,4,6,6,6,7,7,7,2,0,4,6,6,6,7,7,2,2,4,4,6,6,6,7,8,8,8,3,3,3,6,6,6,6,8,8,3,3,3,3,5,5,8,8,8,3,3,3,3,5,5,5,5,8,3,3,3,3,3,5,5,5,8","6,","0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0"
10,7,"6,6,6,6,5,3,3,6,6,5,6,5,5,3,6,6,5,5,5,5,3,6,6,1,5,3,3,3,2,2,2,5,3,3,3,2,2,4,4,4,4,3,4,4,4,4,4,4,0","48,","0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1"
11,8,"4,4,4,6,6,6,6,1,4,4,4,4,6,6,6,6,4,7,7,6,6,2,2,6,4,7,7,7,7,2,5,5,0,3,7,7,7,2,2,5,3,3,7,3,7,7,7,5,3,3,7,3,5,5,7,5,3,3,3,3,5,5,5,5",,"0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
12,10,"4,7,7,7,7,7,7,2,2,2,4,4,4,7,7,7,5,2,2,9,4,4,4,7,7,5,5,2,2,9,4,4,4,7,7,7,5,5,2,9,4,4,4,4,5,5,5,9,2,9,6,6,6,6,5,5,5,9,9,9,6,6,6,6,6,5,3,3,9,9,6,6,6,6,6,3,3,3,3,8,0,1,6,8,8,8,3,3,3,8,1,1,1,8,8,8,8,8,8,8",,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
